access to classified information	– գաղտնի տեղեկություններ ստանալու իրավունք եւ հնարավորություն:
economic action	– տնտեսական գործողություն - տնտեսական միջոցների պլանավորված օգտագործում մեկ այլ պետության քաղաքականության կամ գործողությունների վրա ազդելու նպատակով, օրինակ` թուլացնելու համար հակառակորդ պետության պատերազմելու ներուժը կամ աջակցելու դաշնակից պետության տնտեսական կայունությանը:
economic potential for war	– պատերազմելու տնտեսական ներուժ - պետության համընդհանուր տնտեսական կարողության այն մասը, որը կարող է օգտագործվել պատերազմելու նպատակների համար:
economic warfare	– տնտեսական պատերազմ - հակառակորդի դեմ տնտեսական միջոցների ագրեսիվ օգտագործումը պետության խնդիրների լուծման նպատակով:
effective damage	– արդյունավետ վնաս - այնպիսի վնաս հասցնելը, որն անհրաժեշտ է թիրախը շարքից հանելու, խափանելու, օգտագործման համար անպիտան կամ անարդյունավետ դարձնելու կամ անբնակելի դարձնելու համար:
elicitation (intelligence)	– հայթայթում (հետախուզական տեղեկությունների) - անձից կամ խմբից տեղեկությունների այնպիսի ձեռքբերում, երբ խոսակցության կամ հարցազրույցի իրական նպատակը մնում է չբացահայտված:
emergency repair	– վթարային վերանորոգում - վնասված միջոցների անհետաձգելի վերանորոգման նվազագույն չափը, որն անհրաժեշտ է այդ միջոցներն իրենց նշանակությանը համապատասխան օգտագործելու համար:
encipher	– գաղտնագրում - սովորական տեքստը գաղտնագրման համակարգի միջոցով կողմնակի անձանց համար անհասկանալի տեքստի վերածելը:
endurance	– տեւողություն՝ այն ժամանակահատվածը, որի ընթացքում օդանավը կարող է շարունակել թռիչքը, կամ ցամաքային փոխադրամիջոցը կամ նավը կարող են շարունակել իրենց շարժումն առանց վերալիցքավորման:
enemy capabilities	– հակառակորդի կարողությունները - հակառակորդի այն գործողությունները, որոնք նա ի վիճակի է ձեռնարկել եւ որոնք ձեռնարկվելու դեպքում բացասաբար կանդրադառնան մյուս կողմի մարտական առաքելության վրա:  
enemy combatant	– հակառակորդի մարտիկ (կոմբատանտ) - անձ, որը ռազմական բախման ժամանակ մասնակցում է հակառակորդի մարտական գործողություններին:
environmental considerations	– բնապահպանական նկատառումներ - բնապահպանական հարցերով զբաղվող լրատվամիջոցների, ռեսուրսների եւ ծրագրերի այն համապատկերը, որը կարող է ազդեցություն ունենալ ռազմական գործողությունների պլանավորման կամ իրականացման վրա, կամ կրել վերջիններիս ազդեցությունը: Հնարավոր գործոնների շարքում կարելի է մատնանշել բնապահպանական կանոնների պահպանումը, շրջակա միջավայրի աղտոտման կանխարգելումը, պատմական, մշակութային արժեքների պաշտպանությունը եւ  բուսական ու կենդանական աշխարհի պահպանումը:
escalation	– վատթարացում - հակամարտության շրջանակների կամ նրա ուժգնության կանխամտածված կամ չկանխամտածված աճ:
escapee	– անձ, որը գերվել է հակառակորդի կողմից եւ կարողացել է ազատվել:
escort	– ուղեկցորդ - 1. մարտական ստորաբաժանում, որին հանձնարարված է ուղեկցել եւ պաշտպանել մեկ այլ ստորաբաժանման: 2. Օդանավ, որին հանձնարարված է պաշտպանել մեկ այլ օդանավի վերջինիս կողմից իր առաքելության կատարման ընթացքում: 3. Զինված պահակախումբ, որն ուղեկցում է ավտոշարասյանը, գնացքին, գերիներին եւ այլն: 4. Զինված շքախումբ, որն ի նշան հարգանքի ուղեկցում է պաշտոնատար անձանց:
espionage	– լրտեսություն - պետության պաշտպանունակության վերաբերյալ տեղեկությունների ձեռքբերման, փոխանցման, հաղորդման կամ ստացման գործողություն` նպատակադրված լինելով այդ տեղեկություններն օգտագործել  ի վնաս տվյալ պետության շահերի կամ ի նպաստ որեւէ օտար պետության:
excess property	– ավելցուկ ունեցվածք - ստորաբաժանման տրամադրության տակ գտնվող ունեցվածքի այն քանակությունը, որը գերազանցում է տվյալ ստորաբաժանման համար անհրաժեշտ կամ նրա համար սահմանված ունեցվածքի քանակությունը:
exercise	– զորավարժություն - ռազմական վարժանք կամ պատերազմական իրավիճակի նմանակման պայմաններում կատարվող գործողություն, որն իրականացվում է զինծառայողների գործնական ուսուցման եւ մարտունակության գնահատման նպատակով:  
expedition	– մարտարշավ - զինված ստորաբաժանման կողմից այլ պետության տարածքում որոշակի խնդիր լուծելու նպատակով իրականացվող ռազմական գործողություն: 
expellee	– վտարանդի - քաղաքացիական անձ, որը քաղաքական կամ այլ դրդապատճառներով հարկադրաբար գտնվում է իր պետության կամ հայրենիքի սահմաններից դուրս:
fabricator	– մոգոնող - անհատ կամ խումբ, որը տեղեկություն է հորինում կամ տեղեկությունն ուռճացնում է հօգուտ իր անձնական կամ քաղաքական շահերի:
feint	– կեղծ հարձակում - որպես ռազմական խորամանկություն իրականացվող հարձակողական գործողություն, որի նպատակն է մոլորության մեջ գցել հակառակորդին հիմնական հարձակման իրական ուղղության կամ ժամանակի հարցում:
field artillery	– դաշտային հրետանի - թնդանոթներով, ռեակտիվ արկերով  կամ «երկիր-երկիր» տեսակի հրթիռներով հրետակոծման համար անհրաժեշտ զինատեսակները, ռազմամթերքն ու զինծառայողները: Դաշտային հրետանու թնդանոթները դասակարգվում են ըստ տրամաչափի հետեւյալ կերպ (ըստ ԱՄՆ-ի պաշտպանության նախարարությունում ընդունված չափանիշների). թեթեւ՝ 120 մմ եւ ավելի փոքր, միջին՝ 121-160 մմ, ծանր՝ 161-210 մմ, գերծանր՝ 210 մմ-ից խոշոր:
field exercise	– դաշտային զորավարժություն - պատերազմական իրավիճակի նմանակման պայմաններում իրականացվող վարժանք, որի ընթացքում մի կողմի զորքերն ու սպառազինությունն իրական են, իսկ մյուս կողմինը կարող են լինել պայմանական:
first light	– լուսաբաց - արշալույսի մթնշաղի սկիզբը, այսինքն, երբ վաղորդյան արեւի կենտրոնը հորիզոնից ցածր է 12 աստիճանով:
first strike	– առաջին հարված - պատերազմի առաջին հարձակողական քայլը: Սովորաբար կապվում է միջուկային զենքի կիրառման գործողությունների հետ:
flame thrower	– հրանետ - հրկիզվող վառելիք արտանետող եւ այն բռնկելու հարմարանք ունեցող զինատեսակ:
fleet	– նավատորմ՝  ռազմա-ծովային միասնական հրամանատարության ներքո գտնվող նավերի, օդանավերի եւ ծովային հետեւակի համակցություն: 
flexible response	– ճկուն արձագանք - զինված ուժերի կողմից հակառակորդի ցանկացած սպառնալիքի կամ հարձակման դեպքում ստեղծված հանգամանքներին համապատասխան գործողություններով արդյունավետ հակազդելը: 
floating mine	– լողացող ական -  նավերի դեմ կիրառվող, մակերեւույթին տեսանելի ական:
force	– զորք - զինծառայողների, զենքերի համակարգերի եւ սարքավորումների համակցություն:
foreign assistance	– օգնություն օտարերկրյա պետություններին - օտարերկրյա պետություններին տրամադրվող օգնություն, ինչը կարող է իրականացվել զանազան տարբերակներով՝ զենքի  վաճառքից մինչեւ բնական կամ արհեստածին աղետներից փրկվածների համար սննդի եւ դեղորայքի անհատույց մատակարարումը: ԱՄՆ-ում նման օգնությունն ընդուված է դասակարգել երեք խմբի՝ տվյալ պետության զարգացմանը նպաստող օգնություն, մարդասիրական օգնություն եւ անվտանգության ապահովման ոլորտի օգնություն:
foreign disaster	– աղետ այլ երկրում -  բնական աղետ (ինչպես օրինակ, ջրհեղեղը, երաշտը, հրդեհները, մրրիկը, երկրաշարժը, հրաբխային ժայթքումը, համաճարակը) կամ մարդկային գործոններով պայմանավորված իրավիճակ (ինչպես, օրինակ, խռովությունը, բռնությունները, քաղաքացիական պատերազմը, պայթեցումները, հրկիզումները կամ համաճարակներ տարածելը), որն այն աստիճանի է ծանրացել կամ ծավալվել, որ ստեղծում է տվյալ երկրին օգնություն տրամադարելու անհրաժեշտություն:
free drop	– ազատ նետում - օդանավից, առանց պարաշյուտի օգտագործման, սարքավորում, պաշարներ կամ այլ բեռներ վայր նետելը:
free mine	– ազատ ական - ծովային պատերազմում օգտագործվող խարսխված ական, որի խարիսխը պոկվել կամ կտրվել է:
free rocket	– ազատ հրթիռ - հրթիռ, որը թռիչքի ընթացքում ենթակա չէ հեռակառավարման կամ վերահսկման:
front	– ճակատ - 1. երկու հակամարտող կողմերի շփման գիծը: 2. Հակառակորդի ուղղությունը: 3.Ստորաբաժանման կողմից զբաղեցրած այն տարածքը, որը ձգվում է նրա մի թեւից մինչեւ մյուսը: 4. Մարտական իրադրության բացակայության դեպքում այն ուղղությունը, դեպի որը դիրքավորված է ստորաբաժանումը:
fusion	– միաբերում - հետախուզության բնագավառում նշանակում է բոլոր հետախուզական եւ այլ տեղեկությունների վերլուծություն՝ իրադրության լիարժեք գնահատման նպատակով:
gap	– բացվածք -  ականապատված դաշտի կամ խոչընդոտների գոտու մեջ եղած հատված, որը զերծ է ականներից կամ խոչընդոտներից եւ որի լայնությունն ու ուղղությունը բավարար են ստորաբաժանման անցումը մարտական կարգի պահպանմամբ իրականացնելու համար:
garble	– աղճատում - հաղորդագրության հաղորդման, ընդունման, ծածկագրման կամ վերծանման ընթացքում թույլ տրվող այնպիսի սխալ, որը հաղորդագրության կամ նրա մի մասի իմաստն այն աստիճանի է փոխում, որ այն դառնում է անճիշտ կամ անվերծանելի:
garrison force	– կայազոր - բոլոր այն ստորաբաժանումների համակցությունը, որը կցված է որեւէ ռազմաբազայի կամ այլ տարածքի եւ որի խնդիրը այդ օբյեկտի պաշտպանության, շահագործման եւ նրանցում տեղակայված սարքավորումների կամ այլ ունեցվածքի պահպանության ապահովումն է:
general map	– ընդհանուր քարտեզ - փոքր մասշտաբի քարտեզ, որն օգտագործվում է ընդհանուր պլանավորման նպատակներով:
geographic reference points	– աշխարհագրական կողմնորոշիչ - տեղադրությունը որոշելու կամ հայտնելու միջոց, որը սովորաբար արտահայտվում է գործողության հրամանով հաստատված կրկնակի տառերի, գաղտնաբառի կամ այլ միջոցներով:
global information infrastructure	– համաշխարհային ինֆորմացիոն ենթակառուցվածք - հաղորդակցության ցանցերի, համակարգիչների, համակարգչային տվյալների շտեմարանների, կենցաղային էլեկտրոնիկայի համաշխարհային փոխկապակցվածություն, որը ինֆորմացիայի մեծ ծավալները մատչելի է դարձնում օգտագործողներին: Համաշխարհային ինֆորմացիոն ենթակառուցվածքն ընդգրկում է սարքավորումների լայն շրջանակ, ներառյալ լուսանկարչական ապարատները, սկաներները, ստեղնաշարերը, ֆաքսի սարքերը, համակարգիչները, փոխարկիչները, լազերային սկավառակները, տեսագրություններն ու ձայներիզները, մալուխները, հաղորդալարերը, արբանյակները, օպտիկական մալուխները, համակարգչային բոլոր տեսակի ցանցերը, հեռուստատեսությունը, համակարգչային մոնիտորները, տպիչները եւ այլն: Համաշխարհային ինֆորմացիոն ենթակառուցվածքի կարեւոր բաղադրիչ է հանդիսանում մարդկանց այն կազմը, որը զբաղվում է ստացված ինֆորմացիայով եւ այդ առթիվ որոշումներ կայացնում:
grazing fire	– հնձող (գետնամերձ, գետնազուգահեռ) կրակ - գետնին մոտավորապես զուգահեռ կատարվող կրակ, երբ կրակահերթերի կոնի կենտրոնի բարձրությունը գետնից մեկ մետրից ավելի չէ:
grey propaganda	– «գորշ պրոպագանդա» - պրոպագանդայի այնպիսի տարատեսակ, որն առանձնապես հղում չի կատարում իր օգտագործած աղբյուրների վրա:
gross weight	– ընդհանուր քաշը (բրուտտո կշիռը) - 1. ամբողջովին բեռնավորված եւ գործողության համար պատրաստ փոխադրամիջոցի կշիռը, ներառյալ վառելիքի, քսայուղի, սառեցնող հեղուկի, փոխադրամիջոցի գործիքների ու պահեստամասերի, անձնակազմի, նրանց հանդերձանքի եւ բեռների քաշը: 2. Զետեղարանի կշիռը փոխադրաբեռի հետ միասին: 
ground fire	– հրաձգային զինատեսակներով  գետնից օդանավերի դեմ կատարվող  կրակ:
group of targets	– թիրախների խումբ - երկու կամ ավելի թիրախներ, որոնց դեմ կրակը պետք է մղվի միաժամանակ:
guerrilla	– պարտիզան - պարտիզանական պայքարի մասնակից մարտիկ:
guerrilla force	– պարտիզանական ուժեր - գերազանցապես տեղաբնակներից կազմված եւ կանոնավոր զինված ուժերին չպատկանող ռազմական խումբ, որի նպատակն է ռազմական կամ կիսառազմական գործողությունների կատարումը հակառակորդի կողմից գրավված տարածքում:
guerrilla warfare	– պարտիզանական պայքար - ռազմական եւ կիսառազմական գործողություններ, որոնք իրականացվում են գերազանցապես տեղաբնակներից կազմված եւ կանոնավոր զինված ուժերին չպատկանող ռազմական խմբերի կողմից հակառակորդի կողմից գրավված տարածքներում: 
guided missile	– կառավարվող հրթիռ - հրթիռ, որի  թռիչքի ուղղությունը կարելի է փոփոխել արտաքին կամ նրանում  տեղադրված ներքին մեխանիզմի միջոցով:
handover	– փոխանցում - օդանավի նկատմամբ վերահսկողական լիազորությունների փոխանցումը մեկ վերահսկիչ մարմնից մյուսին:
harassing fire	– հյուծող կրակ - կրակ, որի նպատակն է խանգարել հակառակորդի զորքի հանգիստը, սահմանափակել նրա տեղաշարժը եւ կորուստներ պատճառելու ահաբեկմամբ ընկճել նրա մարտական ոգին:
hard missile base	– հրթիռային ամուր ռազմաբազա - հրթիռ արձակող ռազմաբազա, որը պաշտպանված է միջուկային պայթյունից:
harmonization	– համաձայնեցում - տարաձայնությունների եւ անհամապատասխանությունների կարգավորում էական հարցերի շուրջ վերջնական համաձայնության կայացման նպատակով: 
hazard	– ռիսկ - իրավիճակ, որը կարող է վնասվածք, հիվանդություն կամ մահ պատճառել զինծառայողներին, վնաս հասցնել գույքին կամ ոչնչացնել այն, կամ տապալել մարտական առաջադրանքի կատարումը:
health surveillance	– առողջապահական վերահսկողություն - առողջապահության ոլորտին վերաբերող տվյալների պարբերաբար հավաքում եւ վերլուծություն՝ բնակչության առողջության վիճակը վերահսկելու  եւ պոտենցիալ վտանգները հայտնաբերելու համար, այդպիսով հնարավորություն ընձեռելով հիվանդությունների կամ վնասվածքների կանխարգելման կամ բուժման նպատակով անհրաժեշտ պահին համապատասխան միջոցներ ձեռնարկելու համար: 
heavy antitank weapon	– հակատանկային ծանր թնդանոթ - մեծ տրամաչափի զինատեսակ , որն օգտագործվում է գետնի վրայից կամ փոխադրամիջոցից, գլխավորապես զրահապատ թիրախներ ոչնչացնելու համար:
heavy drop	– ծանր նետում - պարաշյուտի միջոցով ծանրաքաշ մատակարարումների կամ սարքավորումների առաքման համակարգ: 
heavy-lift ship	— ծանրաքաշ նավ - նավ, որը հատուկ նախատեսված է ծանրաքաշ եւ մեծածավալ բեռներ բարձելու եւ բեռնաթափելու համար: 
helicopter landing zone	– ուղղաթիռների վայրեջքի գոտի - որոշակի տարածք, որը նախատեսված է զինծառայողների կամ բեռների բեռնավորման կամ բեռնաթափման նպատակով մարտական ուղղաթիռների վայրէջքի համար: Այն կարող է ունենալ վայրէջքի մեկ կամ ավելի հրապարակներ:
heliport	– ուղղաթիռների կայան - ուղղաթիռների շահագործման, տեղակայման, սպասարկման եւ պահպանման համար նախատեսված հենակայան:
herbicide	– հերբիցիդ - քիմիական միացություն, որը ոչնչացնում է բույսերը կամ վնասում է նրանց:
high explosive cargo	– պայթյունավտանգ բեռ - հրետանային ռազմամթերք, ռումբեր, ականներ, պայթուցիկ նյութեր, հրթիռներ, արկեր եւ համանման այլ բեռներ:
hoist	– ամբարձիչ՝ ուղղաթիռի վերհան մեխանիզմ, որով բեռները կարող են ուղղահայաց բարձրացվել կամ իջեցվել:
horizontal action mine	– հորիզոնական գործողության ական - ական, որը նախատեսված է գետնին մոտավորապես զուգահեռ հարթությամբ վնաս պատճառելու համար:
hostage	– պատանդ - անձ, որն ապօրինի կերպով պահվում է իբրեւ երաշխիք, որ կատարվեն որոշակի պահանջներ կամ ձեռք բերված համաձայնության պայմաններ:
human factors	– մարդկային գործոն -  հոգեբանական, մշակութային, վարքագծային կամ մարդկային այլ հատկանիշներ, որոնք ազդեցություն են ունենում   անհատների կամ խմբերի կողմից որոշումների կայացման, ինֆորմացիայի հոսքի եւ նրա մեկնաբանման վրա: 
imprint	– հրատարակման տվյալներ - քարտեզի լուսանցքում եղած համառոտ տեղեկատվություն, ուր նշվում են տպագրության ամսաթիվը, հրատարակիչը, հրատարակման վայրը, տպաքանակը եւ այդ կարգի այլ տեղեկություններ:
improvised mine	– հանպատրաստից սարքված ական - ական, որը սարքվել է առկա նյութերից, այդ ականի օգտագործման վայրում կամ դրա մոտակայքում:
incapacitating agent	– շարքից հանող միջոց - քիմիական միջոց, որն առաջացնում է ժամանակավոր ֆիզիկական կամ մտավոր անկարողություն, ինչը, միջոցի անմիջական ազդեցությունն ավարտվելուց հետո, կարող է շարունակվել ժամեր կամ օրեր:
in-company	— ընկերակցությամբ - երկու կամ ավելի միավորումներ, որոնք միասին տեղաշարժվում են մեկ ընդհանուր հրամանատարության ներքո:
independent mine	– անկախ ական - ական, որը տեղադրվելուց հետո չի վերահսկվում օգտագործողի կողմից:
indications	– նախանշաններ - գնահատման զանազան աստիճաններում գտնվող ինֆորմացիա, որն իր ամբողջության մեջ  պարզում է հակառակորդի կողմից որեւէ քայլ կատարելու կամ դրանից ձեռնպահ մնալու մտադրությունը:
indirect fire	– անուղղակի կրակ - կրակ այնպիսի թիրախի դեմ, որն ինքնին վերցրած կրակը վարողի նշանակետը չէ:
individual equipment	– անձնական հանդերձանք - անհատի կողմից անձամբ օգտագործելու համար նախատեսված անձնական հագուստը եւ զենքը կամ սարքավորումները:
individual reserves	– անձնական ռեզերվներ - այն պաշարները, որոնք կրում է զինվորը կամ փոխադրամիջոցը ծայրահեղ անհրաժեշտության դեպքերում զինծառայողի անձնական օգտագործման համար:
industrial mobilization	– արդյունաբերության մոբիլիզացում - արդյունաբերության վերակողմնորոշում խաղաղության ժամանակաշրջանի գործունեությունից դեպի պետության ռազմական խնդիրների լուծման համար անհրաժեշտ ծրագրերի իրականացմանը: Այն ընդգրկում է արդյունաբերության նոր ծրագրի իրականացման համար էական նշանակություն ունեցող նյութական միջոցների, աշխատուժի, ֆինանսական միջոցների, արտադրական հզորությունների, օժանդակ միջոցների եւ ծառայությունների մոբիլիզացիան:
industrial preparedness	– արդյունաբերության պատրաստվածություն - պետության ռազմական խնդիրների լուծման համար անհրաժեշտ միջոցներ արտադրելու հարցում արդյունաբերության պատրաստ լինելու աստիճանը:
inert filling	– չեզոք միջուկ - պայթուցիկ նյութի քաշին համապատասխանող ոչ պայթուցիկ նյութով լցոնված միջուկ:
in extremis	– ծայրահեղ դեպքում - այնպիսի բացառիկ հրատապության իրավիճակ, երբ պետք է անհետաձգելի միջոցներ ձեռնարկվեն վերահաս մարդկային կորուստները կամ քաղաքական ու ռազմական իրադրության աղետալի վատթարացումը կանխելու կամ վնասները նվազեցնելու համար:
information	– ինֆորմացիա -  ցանկացած ձեւի եւ ցանկացած միջոցով ստացված փաստեր, տվյալներ կամ հրահանգներ: 
infrastructure	– ենթակառույց - բոլոր այն շինությունները, որոնք անհրաժեշտ են զինված ուժերի տեղակայման, կենսագործունեության եւ նրանց կողմից գործողությունների իրականացման համար (օրինակ` զորանոցները, շտաբները, օդանավակայանները, հաղորդակցության ուղիները, կենցաղային կարիքները հոգալու համար նախատեսված հարմարությունները, պահեստները եւ այլն):
injury	– վնասվածք - տերմին, որն ընդգրկում է այնպիսի վիճակներ, ինչպիսիք են կոտրվածքները, վերքերը, ջլերի ոլորումը, հոդախախտումները, ճզմումները եւ ուղեղի ցնցումները: Այն ընդգրկում է նաեւ խիստ բարձր կամ ցածր ջերմությունից կամ դրանց տեւական ազդեցությունից առաջացած վիճակները, ինչպես նաեւ թունավոր նյութերի ազդեցությունից առաջացած վիճակները:
insurgent	– ապստամբ, խռովարար - գործող իշխանության դեմ ապստամբած քաղաքական կազմավորման անդամ: 
intelligence	– 1. հետախուզական ինֆորմացիա - օտարերկրյա պետությունների, թշնամական կամ պոտենցիալ թշնամական ուժերի կամ տարրերի, կամ հետաքրքրություն ներկայացնող տարածաշրջանների վերաբերյալ տեղեկությունների հավաքման, մշակման, ամփոփման, գնահատման եւ վերլուծության շնորհիվ գոյացող վերջնական արդյունքը: 2. հետախուզություն - գործունեություն, որի արդյունքում ձեռք է բերվում հետախուզական ինֆորմացիան: 3. հետախուզություն - կազմակերպություն, որի գործունեությունն ուղղված է հետախուզական ինֆորմացիայի ձեռբերմանը:
intention	– մտադրություն - որոշակի գործողություն իրականացնելու նպատակ կամ ծրագիր:
intergovernmental organization	– միջկառավարական կազմակերպություն - կազմակերպություն, որը ստեղծվում է երկու կամ ավելի պետությունների միջեւ կնքված համաձայնագրով: Այն կարող է ստեղծվել համաշխարհային կամ  տարածաշրջանային մակարդակներով, ինչպես նաեւ ֆունկցիոնալ հիմքի վրա: Միջկառավարական կազմակերպությունները ստեղծվում են անդամ պետությունների կողմից ընդհանուր դիտվող շահերի պաշտպանության նպատակով: Օրինակ՝ ՄԱԿ-ը, ՆԱՏՕ-ն, Աֆրիկյան միությունը, ԱՊՀ-ն:
intervention	– միջամտություն - գործողություն, որի նպատակն է ռազմական միավորին շեղել իր ուղուց կամ առաջադրանքի կատարումից:
irregular forces	– ոչ կանոնավոր զինված ուժեր - զինված անձինք կամ խմբեր, որոնք կանոնավոր զինված ուժերի, ոստիկանության կամ ներքին անվտանգության այլ ծառայության մաս չեն հանդիսանում:
joiner	– միացող - առեւտրային անկախ նավ, որը միանում է նավերի շարասյանը:
joint force commander	– միացյալ ուժերի հրամանատար - մարտական հրամանատար, որի հրամանատարության ներքո գտնվում են միացյալ զինված ուժեր եւ որն իրավասու է իրականացնելու նրանց մարտական ղեկավարումը:
joint operations	– համատեղ գործողություն - ռազմական գործողություն, որն իրականացվում է միացյալ ռազմական ստորաբաժանումների կողմից կամ այնպիսի ուժերի կողմից, որոնք, միացյալ չլինելով հանդերձ, գործում են համատեղ:
joint operations area	– համատեղ գործողության տարածք - ցամաքային, ծովային եւ օդային տարածություն, ուր միացյալ ուժերի  մարտական հրամանատարությունը որոշակի առաքելություն իրականացնելու նպատակով վարում է մարտական գործողություններ:
joint planning group	– միացյալ պլանավորման խումբ - պլանավորող կազմակերպություն, որը բաղկացած է միացյալ ուժերի շտաբի գլխավոր ծառայությունների, միացյալ ուժերի բաղկացուցիչ մասերի եւ, ըստ հրամանատարության հայեցողության, այլ ստորաբաժանումների ներկայացուցիչներից:
joint security area	– միացյալ անվտանգության տարածք -  միացյալ ուժերի հրամանատարի կողմից որոշված որոշակի տարածություն, որի նպատակն է միացյալ ուժերի ռազմաբազաների անվտանգության ապահովումը:
joint security coordinator	– միացյալ անվտանգության համակարգող -  սպա, որի պարտականությունն է միացյալ ուժերի հրամանատարի ցուցումների եւ հրահանգների համապատասխան համակարգել գործողությունների տարածքի ընդհանուր անվտանգության հարցերը:
jumpmaster	– ցատկի կարգադրիչ, թռիչքավար - օդային դեսանտի փորձառու ծառայող, որի վերահսկողության տակ են անցնում պարաշյուտիստները օդանավ մտնելու պահից մինչեւ օդանավը լքելը:
jump speed	– ցատկային արագություն - օդանավի այն արագությունը, որի ժամանակ դեսանտային զինծառայողը կարող է հարաբերական անվտանգության պայմաններում ցատկ կատարել թռիչքում գտնվող օդանավից:
key employee	– կարեւոր աշխատակից - քաղաքացիական վարձու աշխատանք կատարող աշխատակից, որը գործատուի կողմից գնահատվում է որպես տվյալ հաստատության գործունեությունում շատ կարեւոր ավանդ ունեցող անձ:
key point	– ռազմավարական նշանակության հենակետ - զորքերի կենտրոնացման վայր կամ ռազմաբազա, որի ոչնչացումը կամ գրավումը հակառակորդի կողմից էական վնաս կհասցնի պատերազմի ընթացքին կամ մարտական գործողության կատարմանը:
key position	– կարեւոր պաշտոն - պետական համակարգում կամ մասնավոր ոլորտում եղած քաղաքացիական աշխատատեղեր, որոնք զբաղեցնող աշխատակիցները (գործատուի որոշմամբ եւ իշխանության մարմնի հաստատմամբ) չեն կարող զորակոչվել պատերազմի կամ տարերային աղետի ժամանակ:
key terrain	– կարեւոր դիրք - որեւէ տարածք կամ տեղանք, որի կորուստը կամ  հսկողության տակ պահելը նշանակալի առավելություն է տալիս մարտնչող կողմերից մեկին:
killing zone	– ոչնչացման գոտի - այն տարածքը, ուր հրամանատարը ձգտում է հարկադրել հակառակորդին կուտակվելու՝  այդ վայրում նրան սովորական զենքերով կամ տակտիկական միջուկային զենքերով ոչնչացնելու համար:
kill probability	– ոչնչացնելու հավանականություն - թիրախը ոչնչացնելու հավանականության աստիճանը:
land forces	– ցամաքային ուժեր - զինծառայողների, զենքերի համակարգերի, փոխադրամիջոցների եւ օժանդակ ծառայությունների համակցություն, որը առաջադրանքը կատարելու համար գործում է ցամաքի վրա:
landing aid	– վայրէջքի օժանդակություն - լուսարձակող լամպեր, ռադիոփարոսներ, տեղորոշիչ (ռադարային) սարքեր, հաղորդակցության սարքեր կամ նման սարքերի ցանկացած համակարգ, որով աջակցություն է ցուցաբերվում օդանավին նշանակման վայրին մոտենալու եւ վայրէջքի ընթացքում: 
landing attack	– հարձակում ափհանումով (կամ ցած իջեցնելով) - նավերից, նավակներից կամ ցամաքաջրային փոխադրամիջոցներից ափ հանվող կամ օդանավերից իջեցվող զորքերի կողմից իրականացվող հարձակում:
launch time	– թռիչքի ժամկետը - այն ժամկետը, երբ պլանավորված է կատարել օդանավի թռիչքի մեկնարկը կամ հրթիռի արձակումը:
launch window	– արձակման պատուհան - հրթիռն արձակելու ամենաշուտ եւ ամենաուշ ժամկետների միջեւ ընկած ժամանակահատվածը:
laundering	– լվացում (փողի) - հակաիրավական ֆինանսական գործարք, որի նպատակն է թաքցնել անօրինական ճանապարհով ձեռք բերված փողերի իրական աղբյուրը կամ վերջնակետը:
lead aircraft	– առաջատար օդանավ - 1. թռիչքում գտնվող օդանավ, որը ղեկավարում է թռիչքում գտնվող այլ օդանավերի գործողությունները: 2. Երկու կամ ավելի օդանավերի առջեւից ընթացող օդանավ:
lead nation	– առաջատար պետություն - պետություն, որը ստանձնում է բազմազգ (երկու եւ ավելի պետությունների) զինված ուժերի կամ նրանց մի մասի մատակարարումը եւ նյութատեխնիկական ապահովման պատասխանատվությունը: Նման դեպքերում փոխհատուցման կամ վարձատրության հարցերը կարգավորվում են մասնակից կողմերի միջեւ կնքված համաձայնագրերով: 
leaver	– հեռացող - առեւտրական նավ, որը առանձնանում է ուղեկցող պահականավախմբից եւ անկախ կերպով նավարկում է դեպի մեկ այլ նշանակետ:
leaver convoy	– հեռացող պահականավախումբ - պահականավախումբ, որը առանձնանում է գլխավոր պահականավախմբից եւ նավարկում է դեպի մեկ այլ նշանակետ:
left (or right)	– ձախ (աջ) - տերմիններ, որոնցով մատնանշվում է զորամիավորման հարաբերական տեղադրությունը: «Ձախ» կամ «աջ» տերմիններն օգտագործող անձը, ենթադրվում է, որ դեմքով ուղղված է դեպի հակառակորդը, անկախ այն հանգամանքից` զորքը շարժվում է դեպի հակառակորդը, թե նահանջում է:
liaison	– կապ - զինված ուժերի ստորաբաժանումների կամ այլ գերատեսչությունների միջեւ պահպանվող փոխհաղորդակցություն, ապահովելու համար նրանց փոխըմբռնումը եւ նպատակների ու գործողությունների միասնականությունը:
liberated territory	– ազատագրված տարածք - որեւէ տարածք՝ սեփական երկրի, չեզոք կամ դաշնակից երկրի, որը զավթվել է հակառակորդի կողմից եւ ետ է վերցվել յուրային ուժերի կողմից:
limited war	– սահմանափակ պատերազմ - փոքրածավալ զինված բախում, ուր բացահայտ կերպով  ներգրավված չեն երկու կամ ավելի պետությունների զինված ուժեր:
liquid explosive	– հեղուկ պայթուցիկ - պայթուցիկ, որը նորմալ ջերմաստիճանի պայմաններում գտնվում է հեղուկ վիճակում:
load	– բեռ - նավով, օդանավով, գնացքով, ճանապարհային փոխադրամիջոցով կամ որեւէ այլ փոխադրամիջոցով տեղափոխվող ուղեւորների եւ ուղեբեռների ընդհանուր կշիռը:
